AssemblyAccession	GenomeSize	ProteinCount
GCF_014212125.1	7611037	6620
GCF_014212175.1	7356379	6305
GCF_014217215.1	2526221	2212
GCF_014217275.1	6149586	5582
GCF_014217565.1	8156807	6935
GCF_014217765.1	4776162	4328
GCF_014217805.1	6225914	4784
GCF_014218275.1	4458493	3863
GCF_014218335.1	5430627	4415
GCF_014219065.1	4281493	3868
GCF_014229965.1	2064240	1815
GCF_014263315.1	5463479	4981
GCF_014284255.1	4439434	3912
GCF_014284275.1	4577255	3843
GCF_014284305.1	4868168	4053
GCF_014295015.1	4275642	3437
GCF_014295035.1	8416829	6343
GCF_014297595.1	2933071	2625
GCF_014332695.1	4609928	3871
GCF_014349155.1	5821703	4259
GCF_014395225.1	6329746	5098
GCF_014395425.1	3435501	3083
GCF_014395785.1	4488624	4074
GCF_014395975.1	5167372	4485
GCF_014396165.1	2217552	2039
GCF_014396385.1	2404302	2200
GCF_014396585.1	2557483	2280
GCF_014396785.1	2417654	2356
GCF_014397115.1	3128613	2901
GCF_014397255.1	1659381	1511
GCF_014397415.1	3966848	3646
GCF_014466955.1	7892862	6932
GCF_014466985.1	2092987	2090
GCF_014467235.1	4549981	3676
GCF_014489415.1	4057210	3395
GCF_014489495.1	3007882	2398
GCF_014489515.1	2757025	2421
GCF_014489535.1	4948189	3623
GCF_014489575.1	3864792	3156
GCF_014489595.1	4679990	3751
GCF_014490055.1	8876435	7353
GCF_014490445.1	5350080	4966
GCF_014490485.1	5667125	4903
GCF_014490665.1	5197460	4665
GCF_014524625.1	6827675	5979
GCF_014530645.1	8871850	8059
GCF_014596935.1	4037004	3236
GCF_014596975.1	3778745	3160
GCF_014621655.1	2839791	2547
GCF_014622665.1	3616128	3326
GCF_014623465.1	4540024	4059
GCF_014623485.1	2944264	2667
GCF_014635085.1	3315768	2859
GCF_014635145.1	3548196	3349
GCF_014635185.1	3897570	3678
GCF_014635325.1	6396426	5619
GCF_014635545.1	3939718	3560
GCF_014635585.1	2462803	2137
GCF_014635645.1	2495847	2401
GCF_014635705.1	3326008	3132
GCF_014635805.1	3701589	3432
GCF_014636095.1	3546084	3271
GCF_014636255.1	3564869	3287
GCF_014636275.1	3904075	3433
GCF_014636295.1	5930638	4872
GCF_014636335.1	4125264	3473
GCF_014636495.1	3309481	3002
GCF_014636635.1	2935909	2603
GCF_014636775.1	4463991	3978
GCF_014636865.1	5925444	4785
GCF_014636935.1	5082645	4628
GCF_014637085.1	4095457	3712
GCF_014637175.1	3376322	3254
GCF_014637265.1	5064296	4746
GCF_014637345.1	3582369	3413
GCF_014637795.1	4643188	3763
GCF_014637955.1	3812033	3382
GCF_014638005.1	3276474	2843
GCF_014638095.1	3025964	2709
GCF_014638275.1	4612182	4451
GCF_014638355.1	3824541	3814
GCF_014638745.1	2160901	2044
GCF_014638845.1	4588841	3925
GCF_014638995.1	3842800	3786
GCF_014639075.1	2853888	2702
GCF_014639155.1	5502902	4985
GCF_014639235.1	6853520	5829
GCF_014639435.1	4659505	4115
GCF_014639655.1	3336228	3236
GCF_014640075.1	6819047	5876
GCF_014640115.1	3648224	3442
GCF_014640175.1	2867267	2516
GCF_014640195.1	3113709	2658
GCF_014640315.1	5039836	4237
GCF_014640435.1	4775043	4027
GCF_014640555.1	8254172	6952
GCF_014640615.1	4932019	4520
GCF_014640655.1	4753946	4556
GCF_014640975.1	3120106	2908
GCF_014641455.1	5631281	4536
GCF_014641495.1	3638774	3366
GCF_014641555.1	6502925	5660
GCF_014641595.1	7900408	6434
GCF_014641615.1	7435441	5914
GCF_014641635.1	3144529	2846
GCF_014641655.1	2634902	2520
GCF_014641695.1	4516511	4093
GCF_014641715.1	4161929	3813
GCF_014641855.1	4961496	4168
GCF_014641945.1	4734355	4285
GCF_014642275.1	2872468	2533
GCF_014642405.1	4144902	4043
GCF_014642635.1	5332506	5027
GCF_014642695.1	5098991	4530
GCF_014642795.1	3350000	2943
GCF_014642835.1	5681128	4686
GCF_014642875.1	7182087	5821
GCF_014642895.1	4620543	4427
GCF_014643615.1	3474875	2984
GCF_014643655.1	2716509	2424
GCF_014643695.1	3387489	3085
GCF_014643715.1	3963762	3760
GCF_014643835.1	6646938	5450
GCF_014644155.1	6335967	5310
GCF_014644195.1	6279333	5619
GCF_014644415.1	3657555	3517
GCF_014644455.1	4797000	4328
GCF_014644495.1	4349807	3913
GCF_014644515.1	4199943	3739
GCF_014644555.1	3936280	3600
GCF_014644735.1	3189640	3088
GCF_014645135.1	4078483	3635
GCF_014645195.1	4961652	4700
GCF_014645315.1	3690346	3215
GCF_014645375.1	5546883	4635
GCF_014645495.1	3168824	2760
GCF_014645555.1	4562683	4080
GCF_014645615.1	5692767	4582
GCF_014645735.1	8000126	6936
GCF_014645755.1	5109904	4688
GCF_014645795.1	6828786	6153
GCF_014645815.1	11559237	9653
GCF_014645835.1	10892780	9188
GCF_014645855.1	7827503	6881
GCF_014645895.1	6537491	5436
GCF_014646035.1	4200578	3905
GCF_014646075.1	5359807	4821
GCF_014646095.1	9022781	7562
GCF_014646115.1	8278499	7057
GCF_014646135.1	5214713	4639
GCF_014646155.1	7581334	6372
GCF_014646215.1	4937361	4206
GCF_014646235.1	6586176	5892
GCF_014646255.1	9209394	8539
GCF_014646275.1	7834107	6511
GCF_014646295.1	7679796	6853
GCF_014646335.1	9746447	7956
GCF_014646355.1	8123920	7491
GCF_014646375.1	3542453	3485
GCF_014646515.1	9635644	8787
GCF_014646575.1	3065138	2816
GCF_014646635.1	3640324	3465
GCF_014646655.1	3762238	3291
GCF_014646675.1	3593658	3051
GCF_014646695.1	8681493	7127
GCF_014646755.1	5362869	4806
GCF_014646815.1	4707860	4200
GCF_014646895.1	5686891	5189
GCF_014646915.1	4150410	3712
GCF_014646995.1	3598074	3259
GCF_014647015.1	3791351	3243
GCF_014647035.1	3475761	3169
GCF_014647055.1	3947311	3590
GCF_014647075.1	3574422	3230
GCF_014647195.1	3871950	3732
GCF_014647255.1	3006349	2722
GCF_014647315.1	2711950	2522
GCF_014647515.1	12103263	10829
GCF_014647635.1	4609972	4007
GCF_014647655.1	4445242	4090
GCF_014647675.1	10275661	8951
GCF_014647695.1	9335373	8129
GCF_014647835.1	6884475	5869
GCF_014647855.1	3904844	3339
GCF_014647875.1	10696112	9122
GCF_014647935.1	7803075	6829
GCF_014647975.1	9605331	7909
GCF_014647995.1	4215994	3965
GCF_014648015.1	2995907	2750
GCF_014648055.1	8586701	7387
GCF_014648075.1	7896808	6495
GCF_014648275.1	5217212	4703
GCF_014648295.1	4621349	3910
GCF_014648335.1	4601512	3864
GCF_014648355.1	7612997	6548
GCF_014648375.1	10112406	9022
GCF_014648395.1	6976653	6280
GCF_014648415.1	7042850	6315
GCF_014648435.1	11470535	10397
GCF_014648475.1	9721257	8918
GCF_014648495.1	9265610	8105
GCF_014648515.1	7692265	6852
GCF_014648575.1	3861601	3559
GCF_014648595.1	4953788	4677
GCF_014648615.1	8994303	7866
GCF_014648635.1	9098877	7566
GCF_014648655.1	9827082	8126
GCF_014648675.1	8149099	7185
GCF_014648695.1	9206985	7774
GCF_014648795.1	8533327	7443
GCF_014648875.1	8032801	6881
GCF_014648895.1	9019500	7812
GCF_014648915.1	10444272	8763
GCF_014648975.1	9615257	7884
GCF_014648995.1	9073213	7910
GCF_014649015.1	7730059	6602
GCF_014649055.1	7397357	6425
GCF_014649075.1	8904200	7448
GCF_014649115.1	9167999	7732
GCF_014649135.1	7843370	6485
GCF_014649155.1	7807416	6534
GCF_014649175.1	7345749	6453
GCF_014649335.1	6796704	5790
GCF_014649355.1	7646170	6696
GCF_014649375.1	10609595	9098
GCF_014649475.1	7977975	6643
GCF_014649495.1	9249383	7943
GCF_014649515.1	7585172	6575
GCF_014649535.1	7755498	6542
GCF_014649575.1	7451689	6454
GCF_014649615.1	7730153	6699
GCF_014649655.1	9711080	7892
GCF_014649695.1	8199139	6967
GCF_014649715.1	7707773	6666
GCF_014649735.1	7170078	6301
GCF_014649755.1	7974192	6874
GCF_014649775.1	9802249	8435
GCF_014649795.1	9581670	8247
GCF_014649815.1	7759821	6675
GCF_014649835.1	7626409	6539
GCF_014649855.1	8057871	6962
GCF_014649875.1	7548572	6568
GCF_014649895.1	7308697	6354
GCF_014649915.1	7196824	6206
GCF_014649935.1	7359771	6397
GCF_014649955.1	9117820	8084
GCF_014649995.1	7580440	6554
GCF_014650035.1	7745149	6632
GCF_014650055.1	7742884	6683
GCF_014650075.1	8517311	7326
GCF_014650095.1	8590508	7462
GCF_014650115.1	9763431	8161
GCF_014650135.1	8368647	7096
GCF_014650155.1	9428626	8253
GCF_014650195.1	11856977	9920
GCF_014650215.1	8461620	7322
GCF_014650235.1	8856784	7694
GCF_014650275.1	11285736	9655
GCF_014650335.1	7757254	6547
GCF_014650355.1	8711471	7562
GCF_014650395.1	7332794	6549
GCF_014650435.1	8887909	7896
GCF_014650455.1	8774150	7642
GCF_014650475.1	8066392	7101
GCF_014650515.1	9487627	8068
GCF_014650555.1	8382331	7181
GCF_014650635.1	10266931	8546
GCF_014650655.1	7932225	6299
GCF_014650695.1	8343340	7195
GCF_014650735.1	10647065	8803
GCF_014650795.1	8674739	7613
GCF_014650815.1	9312928	7485
GCF_014650875.1	9510939	7660
GCF_014650895.1	8566167	7330
GCF_014650915.1	8584687	7048
GCF_014650955.1	9713444	7981
GCF_014650995.1	9134388	7790
GCF_014651015.1	7810960	6554
GCF_014651035.1	8783439	7438
GCF_014651075.1	7674449	6637
GCF_014651095.1	7902438	6722
GCF_014651115.1	7867568	6572
GCF_014651135.1	7356931	6184
GCF_014651155.1	8187300	7162
GCF_014651355.1	4957596	4006
GCF_014651375.1	4747451	4617
GCF_014651435.1	5845241	5024
GCF_014651475.1	3210943	2897
GCF_014651515.1	4031349	3488
GCF_014651595.1	4960757	4385
GCF_014651615.1	6413589	5153
GCF_014651635.1	4128508	3488
GCF_014651675.1	5279355	4067
GCF_014651715.1	3368429	3028
GCF_014651735.1	5190483	4327
GCF_014651755.1	3060386	2853
GCF_014651775.1	3932903	3555
GCF_014651815.1	3952608	3453
GCF_014651835.1	5594594	5054
GCF_014651855.1	5527949	4770
GCF_014651915.1	2954603	2804
GCF_014651935.1	4097865	3647
GCF_014651995.1	3043682	2851
GCF_014652035.1	2407073	1904
GCF_014652095.1	3459983	3026
GCF_014652175.1	4342585	3874
GCF_014652195.1	5166352	4995
GCF_014652215.1	3623543	3535
GCF_014652235.1	7114383	6581
GCF_014652355.1	4037198	3797
GCF_014652375.1	3744405	3207
GCF_014652475.1	3418988	3165
GCF_014652515.1	3832536	3458
GCF_014652555.1	3778500	3521
GCF_014652575.1	3948716	3485
GCF_014652595.1	5639110	4647
GCF_014652615.1	3285341	3148
GCF_014652635.1	4015906	3821
GCF_014652715.1	4215262	3727
GCF_014652815.1	4018018	3573
GCF_014652835.1	3657145	3414
GCF_014652855.1	4674965	4080
GCF_014652895.1	3366654	2733
GCF_014652915.1	5960362	5488
GCF_014652975.1	2786137	2388
GCF_014653055.1	4753911	4295
GCF_014653115.1	4181013	4002
GCF_014653155.1	4422254	3608
GCF_014653175.1	4214006	3635
GCF_014653275.1	2796982	2589
GCF_014653435.1	3948441	3424
GCF_014653575.1	4470563	4080
GCF_014653695.1	9738650	9120
GCF_014653785.1	5378526	4697
GCF_014653855.1	10755081	8860
GCF_014653945.1	7743013	7274
GCF_014654365.1	9448616	8310
GCF_014654615.1	6265008	5627
GCF_014654675.1	9813663	8367
GCF_014654935.1	8406486	6565
GCF_014655295.1	8153910	6781
GCF_014655475.1	7727804	6824
GCF_014655595.1	7375626	6391
GCF_014655715.1	10216859	8853
GCF_014655855.1	7307831	6254
GCF_014655955.1	9417550	7751
GCF_014656035.1	6664735	5897
GCF_014656055.1	8163924	7099
GCF_014656075.1	9019212	7911
GCF_014656095.1	9078602	7248
GCF_014656115.1	7418596	6432
GCF_014656135.1	6105542	5112
GCF_014656175.1	7301999	6275
GCF_014656195.1	9266420	7879
GCF_014656275.1	10658486	8893
GCF_014656295.1	8645219	6554
GCF_014656355.1	5207362	4403
GCF_014656415.1	5509734	5228
GCF_014656435.1	4868233	4268
GCF_014656455.1	4225184	4012
GCF_014656585.1	2173634	1864
GCF_014672695.1	4226795	3485
GCF_014673495.1	9116672	7781
GCF_014678925.1	3562720	3285
GCF_014681765.1	4253095	3866
GCF_014689145.1	4564904	4086
GCF_014692505.1	5007501	4008
GCF_014697095.1	5279693	4706
GCF_014697215.1	9608180	8140
GCF_014699135.1	3897886	3441
GCF_014701095.1	7561001	6597
GCF_014701115.1	9428393	7799
GCF_014701195.1	2502404	2246
GCF_014705925.2	2660019	2315
GCF_014725695.1	3475666	3184
GCF_014737315.1	3876957	3283
GCF_014764305.1	3088198	2732
GCF_014764405.1	6839926	5793
GCF_014784055.1	3800626	3192
GCF_014789145.1	1593241	1451
GCF_014837295.1	3951297	3213
GCF_014843995.1	3549186	2980
GCF_014844275.1	1870546	1362
GCF_014844295.1	3221278	2661
GCF_014873765.1	4501438	3966
GCF_014873855.1	4301636	4023
GCF_014892695.1	3974097	3553
GCF_014898155.1	2920839	2260
GCF_014898175.1	2965103	2259
GCF_014898195.1	2822354	2187
GCF_014898655.1	2140145	1880
GCF_014899185.1	4365781	3983
GCF_014905135.1	2078871	2069
GCF_014905615.1	4493055	3795
GCF_014918315.1	4322351	3671
GCF_014925355.1	5205557	4423
GCF_014931075.1	1725253	1613
GCF_014931175.1	1688978	1621
GCF_014961145.1	2120336	1994
GCF_015069875.1	4034511	3298
GCF_015074805.1	4984172	4539
GCF_015143395.1	2480547	2157
GCF_015160855.1	9959088	8516
GCF_015160875.1	7483282	6314
GCF_015160915.1	5063945	4692
GCF_015167415.1	5003047	4610
GCF_015240255.1	4041658	3535
GCF_015243835.1	5153268	4114
GCF_015244665.1	3227421	2902
GCF_015277775.1	9532094	7469
GCF_015278225.1	5899768	5391
GCF_015291705.1	9865973	8998
GCF_015326295.1	4858647	4455
GCF_015326725.1	3789050	3564
GCF_015354885.1	2563134	2375
GCF_015377145.2	4934136	4393
GCF_015377805.1	2038911	1927
GCF_015475595.1	4405684	3484
GCF_015475875.1	3379576	3237
GCF_015476235.1	3858501	3567
GCF_015476605.1	5368659	4789
GCF_015547475.1	3637246	3219
GCF_015550385.1	2954604	2704
GCF_015551805.1	6425694	5006
GCF_015554285.1	3640133	3370
GCF_015554605.1	3614002	3378
GCF_015555825.1	3897457	3134
GCF_015557635.1	3595263	3084
GCF_015557985.1	3519183	2887
GCF_015558615.1	3002367	2742
GCF_015559235.1	2741197	2351
GCF_015560315.1	3541385	3279
GCF_015560805.1	3000221	2640
GCF_015565955.1	3296665	2823
GCF_015582655.1	5373548	5379
GCF_015654285.1	5558698	4913
GCF_015668515.1	3167752	3057
GCF_015669135.1	3736625	3405
GCF_015670165.1	3057707	2715
GCF_015670795.1	2345733	1980
GCF_015680045.1	4588580	4222
GCF_015686525.1	2745461	2497
GCF_015704325.1	4719330	4364
GCF_015710995.1	9054805	7796
GCF_015767265.1	3927079	3430
GCF_015767715.1	2720716	2470
GCF_015767775.1	7588082	6038
GCF_015845705.1	6399994	5466
GCF_015992245.1	4441120	4044
GCF_015999335.1	4683966	4470
GCF_015999465.1	3859707	3224
GCF_016026615.1	4630407	4033
GCF_016026695.1	2084337	1925
GCF_016026735.1	4995010	4550
GCF_016027415.1	3960094	3509
GCF_016027815.1	7274508	6562
GCF_016028295.1	2216575	1986
GCF_016028775.1	2343743	2121
GCF_016028795.1	2170973	2218
GCF_016028855.1	2377741	2012
GCF_016064815.1	4070688	3641
GCF_900000175.1	2829331	2204
GCF_900005615.1	4038130	3723
GCF_900007165.1	9710046	8423
GCF_900009145.1	6781855	5663
GCF_900009265.2	6147941	5032
GCF_900010725.2	6274687	5372
GCF_900015005.1	1845483	1751
GCF_900015215.1	2588193	2328
GCF_900018365.1	2331098	2010
GCF_900019265.1	7279154	6104
GCF_900048895.1	3671597	3165
GCF_900065875.1	2922118	2242
GCF_900067125.1	2955657	2629
GCF_900067155.1	3288692	3021
GCF_900070325.1	2609352	2306
GCF_900070355.1	2958880	2431
GCF_900078205.2	5390133	4750
GCF_900078305.2	2255644	2084
GCF_900078315.1	6153508	5360
GCF_900078665.2	6451811	5748
GCF_900078675.2	5929237	5230
GCF_900078685.2	4849907	4330
GCF_900079135.1	3234289	2933
GCF_900079775.1	3765112	2843
GCF_900079795.1	5109913	4740
GCF_900083545.1	3805205	2851
GCF_900086595.1	3799489	3425
GCF_900086655.1	5668632	4915
GCF_900086705.1	4000953	3715
GCF_900086725.1	4219447	3923
GCF_900087655.1	2507188	2139
GCF_900089075.1	2434476	2193
GCF_900089455.2	4848101	4365
GCF_900089595.1	6758600	6011
GCF_900089605.1	6612057	5712
GCF_900089835.1	5105314	4406
GCF_900089985.1	3826043	3488
GCF_900090105.1	6662588	5942
GCF_900090235.1	7203233	6389
GCF_900090245.1	6275885	5355
GCF_900090265.1	7011369	5725
GCF_900090275.1	7096032	6261
GCF_900090285.1	6708094	6139
GCF_900090295.1	6769793	5855
GCF_900090305.1	6250219	5575
GCF_900091425.1	7074838	6294
GCF_900091435.1	6743815	6077
GCF_900091445.1	7002627	5893
GCF_900091455.1	6929787	6222
GCF_900091495.1	7775586	6394
GCF_900091505.1	6897819	6041
GCF_900091525.1	7755577	6395
GCF_900091545.1	7073985	6168
GCF_900091555.1	6168719	5604
GCF_900091565.1	6060597	5228
GCF_900091575.1	7103993	6417
GCF_900091605.1	6488171	5838
GCF_900091655.1	4410591	3486
GCF_900092135.1	3760249	3374
GCF_900093775.1	4607442	4392
GCF_900094545.1	6808054	6206
GCF_900094555.1	7252624	6639
GCF_900094585.1	7319877	6746
GCF_900094605.1	9163226	8144
GCF_900094625.1	6557588	6012
GCF_900094765.1	7478744	6883
GCF_900094795.1	4814900	4421
GCF_900094835.1	1820901	1720
GCF_900094885.1	1633662	1252
GCF_900094925.1	4841527	4456
GCF_900094935.1	2521485	2334
GCF_900094945.1	2319664	2081
GCF_900094955.1	4500901	4507
GCF_900094975.1	4481988	4338
GCF_900095135.1	4414963	3301
GCF_900095155.1	3442381	3039
GCF_900095705.1	1809170	1590
GCF_900095795.1	3717632	2904
GCF_900095825.1	2669996	2394
GCF_900095885.1	4501560	3861
GCF_900096565.1	4154490	3433
GCF_900096585.1	4040166	3513
GCF_900096715.1	3272368	2608
GCF_900096765.1	1825583	1699
GCF_900096885.1	3666504	3284
GCF_900096895.1	3085401	2819
GCF_900096905.1	2527601	2385
GCF_900096945.1	4609043	3875
GCF_900096965.1	2582209	2507
GCF_900096995.1	3781219	3347
GCF_900097105.1	3074078	2503
GCF_900098745.1	3695248	2965
GCF_900098925.1	4145721	3990
GCF_900099065.1	1625992	1538
GCF_900099615.1	1184862	1062
GCF_900099635.1	3119379	2842
GCF_900099655.1	3917616	3765
GCF_900099675.1	2967042	2499
GCF_900099695.1	4534676	4098
GCF_900099705.1	3400178	3205
GCF_900099765.1	6740451	5774
GCF_900099775.1	6728492	6209
GCF_900099785.1	5775530	5275
GCF_900099815.1	2973500	2618
GCF_900099905.1	6809960	6169
GCF_900099915.1	3808360	3174
GCF_900099925.1	3658529	3656
GCF_900099965.1	11811824	10437
GCF_900099995.1	4573152	3883
GCF_900100015.1	5501246	4909
GCF_900100075.1	5168180	4509
GCF_900100085.1	5611602	5304
GCF_900100165.1	3945433	3178
GCF_900100175.1	4375383	3898
GCF_900100185.1	3302411	3316
GCF_900100195.1	4166643	3869
GCF_900100255.1	3967832	3570
GCF_900100295.1	3155619	3179
GCF_900100315.1	8228196	7235
GCF_900100345.1	6029601	5365
GCF_900100355.1	3664854	3177
GCF_900100375.1	4032617	3512
GCF_900100395.1	8267594	7694
GCF_900100455.1	3497210	3030
GCF_900100475.1	4840393	4640
GCF_900100495.1	5743144	5135
GCF_900100605.1	7057140	5969
GCF_900100615.1	6572265	6248
GCF_900100625.1	2890139	2641
GCF_900100655.1	3039361	2801
GCF_900100665.1	4296818	4137
GCF_900100705.1	5755101	4741
GCF_900100735.1	8597887	7595
GCF_900100755.1	3756722	3405
GCF_900100765.1	7107765	5619
GCF_900100785.1	4939873	4416
GCF_900100855.1	2582063	2429
GCF_900100885.1	3668670	3412
GCF_900100945.1	7109178	5904
GCF_900100955.1	8508028	7874
GCF_900100975.1	2761335	2614
GCF_900101065.1	2277311	2282
GCF_900101075.1	2633620	2641
GCF_900101095.1	5004253	4273
GCF_900101105.1	3872848	3370
GCF_900101125.1	3565081	3418
GCF_900101165.1	2364962	2217
GCF_900101285.1	1775491	1807
GCF_900101385.1	3654407	3631
GCF_900101395.1	6099002	4940
GCF_900101415.1	6123913	5440
GCF_900101435.1	6006420	4880
GCF_900101475.1	4995422	4636
GCF_900101495.1	4459788	4165
GCF_900101555.1	5566563	5255
GCF_900101585.1	7125330	5883
GCF_900101615.1	5994144	5570
GCF_900101685.1	6578763	5942
GCF_900101705.1	4667644	4051
GCF_900101745.1	6171523	5442
GCF_900101785.1	4461788	4050
GCF_900101815.1	4851997	3967
GCF_900101825.1	4428167	3561
GCF_900101835.1	1968473	1798
GCF_900101845.1	5996461	5579
GCF_900101885.1	8744781	7086
GCF_900101895.1	3700245	3216
GCF_900101905.1	9240716	7350
GCF_900101915.1	3062581	2567
GCF_900101955.1	2789967	2459
GCF_900101965.1	4211331	3651
GCF_900101995.1	2136954	1983
GCF_900102015.1	3911774	3686
GCF_900102035.1	6674429	5957
GCF_900102075.1	5871369	5387
GCF_900102085.1	6495147	5516
GCF_900102095.1	7681257	6523
GCF_900102135.1	4721732	4348
GCF_900102145.1	2442297	2499
GCF_900102195.1	6111570	5671
GCF_900102215.1	5264638	4659
GCF_900102275.1	4044312	3684
GCF_900102295.1	6604078	5645
GCF_900102315.1	4442624	4258
GCF_900102335.1	4546163	4147
GCF_900102365.1	2957106	2653
GCF_900102395.1	2683588	2580
GCF_900102435.1	2861023	2787
GCF_900102465.1	5363368	4984
GCF_900102475.1	4521825	4043
GCF_900102505.1	3911405	3714
GCF_900102535.1	3936078	3776
GCF_900102545.1	8625518	6581
GCF_900102615.1	2166325	2058
GCF_900102625.1	5257076	4673
GCF_900102665.1	5731800	5274
GCF_900102745.1	4806788	4463
GCF_900102815.1	5604480	5013
GCF_900102835.1	4629350	3870
GCF_900102855.1	3563632	3189
GCF_900102875.1	4402189	3989
GCF_900102905.1	3127641	2977
GCF_900102915.1	3261465	2932
GCF_900102945.1	4138450	3795
GCF_900103005.1	3615609	3231
GCF_900103065.1	3818286	3380
GCF_900103085.1	2281807	2032
GCF_900103135.1	2718640	2566
GCF_900103215.1	6057242	4786
GCF_900103255.1	2616976	2469
GCF_900103285.1	6189941	4932
GCF_900103315.1	3296581	2571
GCF_900103325.1	7063626	6621
GCF_900103345.1	6727386	5918
GCF_900103425.1	1700551	1515
GCF_900103445.1	6015046	5599
GCF_900103455.1	8039558	6813
GCF_900103485.1	4797611	4811
GCF_900103515.1	4422181	3829
GCF_900103615.1	3782458	3532
GCF_900103625.1	2266470	2044
GCF_900103665.1	8060701	6483
GCF_900103695.1	4149758	3944
GCF_900103735.1	4853787	4140
GCF_900103775.1	8565619	7816
GCF_900103785.1	5206703	4769
GCF_900103795.1	6377174	5572
GCF_900103815.1	2704308	2267
GCF_900103835.1	2916215	2731
GCF_900103845.1	5868669	5150
GCF_900103865.1	4142129	3731
GCF_900103875.1	6502978	5772
GCF_900103885.1	3103556	2508
GCF_900103915.1	2950395	3027
GCF_900103935.1	4224028	4044
GCF_900103955.1	3778165	3436
GCF_900103975.1	4758105	4500
GCF_900103985.1	8220839	6557
GCF_900104125.1	6312685	5543
GCF_900104135.1	3530709	3258
GCF_900104175.1	8591279	7849
GCF_900104185.1	4191840	4095
GCF_900104195.1	2736266	2464
GCF_900104235.1	2429275	2270
GCF_900104245.1	2206361	2046
GCF_900104265.1	5084171	4541
GCF_900104305.1	3847194	3458
GCF_900104365.1	6373103	5607
GCF_900104415.1	2912287	2585
GCF_900104445.1	5008860	4259
GCF_900104455.1	4130502	3667
GCF_900104475.1	5038150	4381
GCF_900104515.1	5609245	4916
GCF_900104525.1	3942164	3624
GCF_900104535.1	5013970	4426
GCF_900104555.1	4789739	4467
GCF_900104575.1	4863531	4514
GCF_900104615.1	2580742	2359
GCF_900104665.1	2606093	2504
GCF_900104675.1	4041781	3753
GCF_900104705.1	2773310	2596
GCF_900104725.1	10654181	9248
GCF_900104735.1	6529836	5702
GCF_900104745.1	6403669	5616
GCF_900104805.1	4642193	4116
GCF_900104885.1	5634667	4891
GCF_900104895.1	3837821	3460
GCF_900104915.1	6539015	5786
GCF_900104945.1	3537092	3236
GCF_900104965.1	4058582	3787
GCF_900105005.1	3987942	3677
GCF_900105025.1	2353193	2026
GCF_900105045.1	4441057	3912
GCF_900105065.1	4717614	4321
GCF_900105105.1	4505800	3838
GCF_900105155.1	6092055	5303
GCF_900105165.1	6014056	4873
GCF_900105255.1	4030203	3620
GCF_900105315.1	4023083	3410
GCF_900105335.1	3552313	3396
GCF_900105385.1	6733014	6037
GCF_900105425.1	3688445	3150
GCF_900105445.1	2986943	2643
GCF_900105475.1	6529636	5581
GCF_900105485.1	5943170	5127
GCF_900105535.1	4459178	3947
GCF_900105645.1	4871344	4148
GCF_900105655.1	3796105	3410
GCF_900105785.1	4405285	4015
GCF_900105815.1	6032706	5355
GCF_900105825.1	6424905	5762
GCF_900105865.1	1998342	1723
GCF_900105885.1	3191154	2881
GCF_900105925.1	7716600	7095
GCF_900105995.1	3769689	3443
GCF_900106005.1	6346235	5452
GCF_900106015.1	5476367	4985
GCF_900106045.1	5853167	5110
GCF_900106595.1	2908575	2895
GCF_900106645.1	3856409	3257
GCF_900106675.1	4280693	3958
GCF_900106765.1	3002518	2992
GCF_900106775.1	3331831	3068
GCF_900106785.1	3475353	2603
GCF_900106795.1	3535532	2971
GCF_900106845.1	3112481	2906
GCF_900106945.1	3971609	3549
GCF_900106955.1	3886483	3554
GCF_900106975.1	4690373	4321
GCF_900106995.1	10151409	8892
GCF_900107035.1	2859702	2713
GCF_900107045.1	9406090	8433
GCF_900107105.1	5471205	4899
GCF_900107115.1	2629725	2631
GCF_900107125.1	2954329	2726
GCF_900107135.1	4758215	4131
GCF_900107145.1	2958507	2630
GCF_900107165.1	3211662	2778
GCF_900107215.1	1967584	1861
GCF_900107235.1	4259991	4024
GCF_900107245.1	2717066	2362
GCF_900107405.1	3122071	2800
GCF_900107435.1	4853715	4478
GCF_900107485.1	3161504	2913
GCF_900107535.1	5188723	4408
GCF_900107595.1	2671918	2415
GCF_900107625.1	3143625	2811
GCF_900107645.1	3744894	3289
GCF_900107675.1	3488964	2680
GCF_900107685.1	5930529	5266
GCF_900107695.1	3936903	3752
GCF_900107725.1	3982390	3352
GCF_900107755.1	4300830	4198
GCF_900107765.1	4868714	3665
GCF_900107795.1	6630860	5426
GCF_900107845.1	4060055	3597
GCF_900107855.1	3925261	3625
GCF_900107885.1	3779259	3217
GCF_900107965.1	9592053	7863
GCF_900108015.1	3439151	2931
GCF_900108055.1	2207191	2059
GCF_900108065.1	5568333	5024
GCF_900108085.1	4834448	4126
GCF_900108115.1	3346045	3082
GCF_900108125.1	2841494	2501
GCF_900108175.1	8649739	7639
GCF_900108215.1	4737211	4338
GCF_900108245.1	5918613	5430
GCF_900108275.1	3771953	3524
GCF_900108335.1	13236837	11886
GCF_900108395.1	2977689	2780
GCF_900108455.1	1413564	1303
GCF_900108475.1	3805060	3307
GCF_900108485.1	4457865	4070
GCF_900108515.1	4070894	3866
GCF_900108535.1	4332289	3874
GCF_900108565.1	5987931	5698
GCF_900108595.1	6592354	5675
GCF_900108855.1	7340093	5908
GCF_900108945.1	8688577	7597
GCF_900108955.1	3172415	2825
